binCenter(10-50)	NRG	IRG	IRG(0.5)	UW	PRISM
11	0.020757	0.012062	0.030575	0.038694	0.061487
13	0.053015	0.043759	0.065638	0.083212	0.115961
15	0.110238	0.107714	0.124544	0.165037	0.217897
17	0.255259	0.266480	0.257784	0.332293	0.406085
19	0.530996	0.596634	0.557363	0.668816	0.787911
21	1.088920	1.319215	1.071809	1.267804	1.365763
23	2.160729	2.549229	2.137167	2.320644	2.222586
25	3.711360	4.493689	4.115568	3.910547	3.793591
27	5.964095	7.329593	7.315007	6.264961	6.020239
29	8.899299	10.914446	11.188780	10.113238	9.859481
31	12.049369	15.313324	15.153717	14.197143	13.845008
33	14.231978	17.972511	17.584853	17.022329	16.544002
35	15.187097	17.458626	16.965498	17.189099	16.985719
37	14.270407	12.072090	12.978682	14.501699	14.652901
39	10.834222	6.345021	7.219074	8.607794	9.178089
41	6.540252	2.470126	2.617952	2.854240	3.302367
43	2.853576	0.627770	0.519495	0.410443	0.527782
45	0.922020	0.096213	0.073773	0.026767	0.049600
47	0.268163	0.005891	0.006452	0.002288	0.008138
49	0.035624	0.000000	0.000000	0.000139	0.000499
